recruit,ranking,high.school,position,score,year
Josh Jackson,1,"Justin-Siena (Detroit, MI)",SG,102,2016
Lonzo Ball,2,"Chino Hills (Chino, CA)",PG,101,2016
Harry Giles,3,"Oak Hill Academy (Winston Salem, NC)",PF,100,2016
Markelle Fultz,4,"DeMatha Catholic (Hyattsville, MD)",CG,100,2016
Frank Jackson,5,"Lone Peak (American Fork, UT)",PG,100,2016
De'Aaron Fox,6,"Cy Lakes (Katy, TX)",PG,99,2016
Dennis Smith Jr.,7,"Trinity Christian School (Fayetteville, NC)",PG,99,2016
Jayson Tatum,8,"Chaminade (St. Louis, MO)",SF,99,2016
Jonathan Isaac,9,"IMG Academy (Hollywood, FL)",SF,99,2016
Malik Monk,10,"Bentonville (Lepanto, AR)",CG,99,2016
Miles Bridges,11,"Huntington Expression Prep (Huntington, WV)",SF,99,2016
Bam Adebayo,12,"High Point Christian Academy (Pinetown, NC)",PF,99,2016
Thon Maker,13,Athlete Institute Basketball Academy (),PF,99,2016
Wenyen Gabriel,14,"Wilbraham & Monson Academy (Wilbraham, MA)",PF,99,2016
Terrance Ferguson,15,"Advanced Preparatory International (Dallas, TX)",SG,99,2016
Lauri Markkanen,16,"International (Paterson, NJ)",PF,98,2016
Jarrett Allen,17,"St. Stephen's Episcopal (Austin, TX)",PF,98,2016
Marques Bolden,18,"DeSoto (DeSoto, TX)",C,98,2016
TJ Leaf,19,"Foothills Christian (El Cajon, CA)",PF,98,2016
Zach Collins,20,"Bishop Gorman (Las Vegas, NV)",C,98,2016
Joshua Langford,21,"Madison Academy (Madison, AL)",SG,98,2016
Dewan Hernandez,22,"Miami Norland (Miami, FL)",PF,98,2016
Bruce Brown,23,"Vermont Academy (Boston, MA)",CG,98,2016
Austin Wiley,24,"Spain Park (Birmingham, AL)",PF,98,2016
Sacha Killeya-Jones,25,"Virginia Episcopal School (Chapel Hill, NC)",PF,98,2016
Omer Yurtseven,26,"Fenerbahce Basketbol Subesi (Istanbul, IS)",C,98,2016
Omari Spellman,27,"MacDuffie School (North Royalton, OH)",C,98,2016
Mustapha Heron,28,"Sacred Heart (Waterbury, CT)",SF,98,2016
Kobi Simmons,29,"St. Francis (Alpharetta, GA)",CG,98,2016
Rawle Alkins,30,"Word Of God Christian Academy (Middle Village, NY)",SG,98,2016
Ty Jerome,31,"Iona Preparatory School (New Rochelle, NY)",PG,97,2016
Alterique Gilbert,32,"Miller Grove (Lithonia, GA)",PG,97,2016
Tony Bradley,33,"Bartow (Bartow, FL)",C,97,2016
V.J. King,34,"Paul VI Catholic (Akron, OH)",SF,97,2016
Cassius Winston,35,"University Of Detroit Jesuit (Detroit, MI)",PG,97,2016
Jay Huff,36,"Voyager Academy (Durham, NC)",PF,97,2016
De'Riante Jenkins,37,"Hargrave Military Academy (Marion, SC)",SF,97,2016
Andrew Jones,38,"MacArthur (Irving, TX)",CG,97,2016
Tyus Battle,39,"Gill St Bernard S School (Edison, NJ)",SG,97,2016
Udoka Azubuike,40,"The Potter's House Christian Academy (Jacksonville, FL)",C,97,2016
Sam Cunliffe,41,"Rainier Beach (Seattle, WA)",SF,96,2016
Jarron Cumberland,42,"Wilmington (Wilmington, OH)",SG,96,2016
Kyle Guy,43,"Lawrence Central (Indianapolis, IN)",CG,96,2016
Markus Howard,44,"Findlay Prep (Gilbert, AZ)",PG,96,2016
Justin Jackson,45,"Findlay Prep (Toronto, ON)",SF,96,2016
Juwan Durham,46,"Tampa Preparatory School (Tampa, FL)",PF,96,2016
Kameron McGusty,47,"Seven Lakes (Katy, TX)",SG,96,2016
De'Ron Davis,48,"Overland (Aurora, CO)",PF,96,2016
Schnider Herard,49,"Prestonwood Christian (Plano, TX)",C,96,2016
Nick Ward,50,"Gahanna Lincoln (Columbus, OH)",PF,95,2016
Jayce Johnson,51,"Santa Monica (Santa Monica, CA)",C,95,2016
Javin DeLaurier,52,"St. Anne's-Belfield School (Charlottesville, VA)",PF,95,2016
Kostas Antetokounmpo,53,"Dominican (Milwaukee, WI)",SF,95,2016
Ted Kapita,54,"DME Academy (Melbourne, FL)",PF,95,2016
Richard Freudenberg,55,"Bayern Munich (Munich, BV)",SF,95,2016
Brandon Robinson,56,"Douglas County (Douglasville, GA)",SG,94,2016
DeJon Jarreau,57,"McDonogh 35 (New Orleans, LA)",CG,94,2016
JJ Caldwell,58,"Cy Woods (Cypress, TX)",PG,94,2016
Seventh Woods,59,"Hammond School (Columbia, SC)",CG,94,2016
Taurean Thompson,60,"Brewster Academy (Wolfeboro, NH)",C,94,2016
Braxton Key,61,"Oak Hill Academy (Mouth Of Wilson, VA)",SF,93,2016
James Banks,62,"La Lumiere School (La Porte, IN)",C,93,2016
Mark Vital,63,"Washington-Marion (Lake Charles, LA)",SF,93,2016
Mario Kegler,64,"Oak Hill Academy (Jackson, MS)",SF,93,2016
