Name,Location,Height,Weight,Ranking,NationalRank,PositionRank,StateRank,State,Position,Year,School,Type,count,loc_inside_parens,location_name,Location_Clean,lat,long,School_Clean,School_City,college_lat,college_long,Date,disFromHS_m,miles_away,University
N'Keal Harry,"Chandler (Chandler, AZ)",6-4,210,94,117,15,1,AZ,WR,2016,Arizona State,Commit,1,"Chandler, AZ",Chandler,"Chandler High School, Chandler, AZ",33.3062031,-111.841185,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,16115.255589350338,10,Arizona State University
Cohl Cabral,"Los Osos (Rancho Cucamonga, CA)",6-5,273,92,223,21,32,CA,OT,2016,Arizona State,Commit,2,"Rancho Cucamonga, CA",Los Osos,"Los Osos High School, Rancho Cucamonga, CA",34.1033192,-117.575173,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,527349.9515309014,328,Arizona State University
Chase Lucas,"Chandler (Chandler, AZ)",5-11,161,92,227,9,4,AZ,RB,2016,Arizona State,Commit,2,"Chandler, AZ",Chandler,"Chandler High School, Chandler, AZ",33.3062031,-111.841185,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,16115.255589350338,10,Arizona State University
Maurice Chandler,"Northeastern Oklahoma A&M (Miami, OK)",6-1,190,91,13,1,1,OK,CB,2016,Arizona State,Commit,2,"Miami, OK",Northeastern Oklahoma A&M,"Northeastern Oklahoma A&M High School, Miami, OK",36.8746177,-94.877374,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1598736.8912941022,993,Arizona State University
J'Marcus Rhodes,"Kilgore College (Kilgore, TX)",6-2,202,91,14,2,4,TX,CB,2016,Arizona State,Commit,2,"Kilgore, TX",Kilgore College,"Kilgore College High School, Kilgore, TX",32.3866806,-94.8754614,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1598779.789100513,993,Arizona State University
Christian Hill,"Glendale C.C. (Glendale, AZ)",6-6,265,90,18,3,3,AZ,SDE,2016,Arizona State,Commit,1,"Glendale, AZ",Glendale C.C.,"Glendale C.C. High School, Glendale, AZ",33.5386858,-112.185994,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,26080.975152100415,16,Arizona State University
Robbie Robinson,"DeMatha Catholic (Hyattsville, MD)",5-8,160,89,NA,25,11,MD,ATH,2016,Arizona State,Commit,4,"Hyattsville, MD",DeMatha Catholic,"DeMatha Catholic High School, Hyattsville, MD",38.9529442,-76.9408647,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,3186997.644428015,1980,Arizona State University
Koron Crump,"Fort Scott C.C. (Fort Scott, KS)",6-3,220,89,29,3,6,KS,WDE,2016,Arizona State,Commit,4,"Fort Scott, KS",Fort Scott C.C.,"Fort Scott C.C. High School, Fort Scott, KS",37.8399791,-94.7082882,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1633037.8053695266,1015,Arizona State University
Alex Losoya,"Orange Coast College (Costa Mesa, CA)",6-4,300,89,30,3,4,CA,OG,2016,Arizona State,Commit,4,"Costa Mesa, CA",Orange Coast College,"Orange Coast College High School, Costa Mesa, CA",33.6633386,-117.903317,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,554392.4773226003,344,Arizona State University
Jeremy Smith,"Fort Bend Marshall (Missouri City, TX)",6-2,179,87,NA,86,76,TX,WR,2016,Arizona State,Commit,2,"Missouri City, TX",Fort Bend Marshall,"Fort Bend Marshall High School, Missouri City, TX",29.6185669,-95.5377215,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1612060.8253214476,1002,Arizona State University
