high.school,2016-2017,2018-2019,2020-2021,2022-2023,2024-2025,(2016-2025),lat,long
"Brewster Academy (Wolfeboro, NH)",3,4,5,2,4,18,NA,NA
"Compass Prep (Chandler, AZ)",NA,1,2,8,4,15,NA,NA
"Hillcrest Prep (Phoenix, AZ)",1,1,7,1,1,11,NA,NA
"IMG Academy (Bradenton, FL)",2,8,12,6,7,35,27.4989278,-82.5748194
"IMG Academy (Bradenton, FL)",2,8,12,6,7,35,27.4989278,-82.5748194
"IMG Academy (Bradenton, FL)",2,8,12,6,7,35,27.4989278,-82.5748194
"IMG Academy (Bradenton, FL)",2,8,12,6,7,35,27.4989278,-82.5748194
"IMG Academy (Bradenton, FL)",2,8,12,6,7,35,27.4989278,-82.5748194
"IMG Academy (Bradenton, FL)",2,8,12,6,7,35,27.4989278,-82.5748194
"IMG Academy (Bradenton, FL)",2,8,12,6,7,35,27.4989278,-82.5748194
"IMG Academy (Bradenton, FL)",2,8,12,6,7,35,27.4989278,-82.5748194
"IMG Academy (Bradenton, FL)",2,8,12,6,7,35,27.4989278,-82.5748194
"IMG Academy (Bradenton, FL)",2,8,12,6,7,35,27.4989278,-82.5748194
"IMG Academy (Bradenton, FL)",2,8,12,6,7,35,27.4989278,-82.5748194
"La Lumiere School (La Porte, IN)",3,2,1,3,3,12,NA,NA
"Link Academy (Branson, MO)",NA,NA,NA,6,7,13,NA,NA
"Montverde Academy (Montverde, FL)",1,7,7,6,9,30,NA,NA
"Oak Hill Academy (Mouth Of Wilson, VA)",3,4,1,2,4,14,NA,NA
"Overtime Elite (Atlanta, GA)",NA,NA,NA,2,17,19,NA,NA
"Prolific Prep (Napa, CA)",1,1,5,7,8,22,NA,NA
"Sierra Canyon (Chatsworth, CA)",3,2,2,2,2,11,34.2572499,-118.6017022
"Sierra Canyon (Chatsworth, CA)",3,2,2,2,2,11,34.2572499,-118.6017022
"Sierra Canyon (Chatsworth, CA)",3,2,2,2,2,11,34.2572499,-118.6017022
"Sierra Canyon (Chatsworth, CA)",3,2,2,2,2,11,34.2572499,-118.6017022
"Sierra Canyon (Chatsworth, CA)",3,2,2,2,2,11,34.2572499,-118.6017022
"SoCal Academy (Castaic, CA)",NA,NA,NA,7,4,11,NA,NA
"Sunrise Christian Academy (Wichita, KS)",NA,3,3,6,1,13,NA,NA
